ID,text,sexism,gender,hostile,misogyny,misandry
0,她说她的本意是要检讨为何性别议题常缺少男生。,0,0,0,0,0
1,我曾听两位位女性主义者说过，现代性别教育很奇怪的地方是，母亲会跟女孩子讨论性别议题，却完全把男孩子忽略让他们的性别知识停留在上一个世纪。,0,0,0,0,0
2,關於職業男女比重差異，這一點我也想分享一下我自己的例子：我在CSU Long Beach學習電影的時候拿過一堂有關幕後的課程，我有天驚覺班級裏40個學生中只有2，3個女生。,0,0,0,0,0
3,而在另一堂『電影女權』的課上老師說男女在電影行業存在男權主義，因為好萊塢除演員外的幕後工作人員只有5%不到是女性。,0,0,0,0,0
4,我馬上就想到，如果那堂幕後的課程中所有同學畢業後都進了好萊塢，那你覺得幕後工作人員的男女比例會是50：50嗎？,0,0,0,0,0
5,顯然是不可能的，但是男女生選擇報這堂課的權利是一樣的，也就是說，但就好萊塢幕後男女佔比95：5來看，我反倒覺得是男女平等的提現。,1,0,0,0,0
6,但不管男权主义还是女权主义，最核心的其实都应该是男女平等。,0,0,0,0,0
7,我是一个女权主义者，但我非常反感法律和道德上对于男性的歧视和对于女性的过保护。,0,0,0,0,0
8,这种放弃愿意与男性公平被对待的想法，怎么可能会让男女平等吧？,0,0,0,0,0
9,这种想法只要存在，就不可能实现男女平等。,0,0,0,0,0
10,正确的男权／女权主义指的永远不是对于任何一方有过度的保护，因为只有不对女性过度保护，才算是承认她们和男性一样有能力。,0,0,0,0,0
11,在歐美遇到很多很悲慘的爸爸，和孩子在一起的時間幾乎沒有，每個月都要給前妻很多錢之外，也要看著自己小孩和前妻跟其他的男人在一起。,1,0,0,0,0
12,这个片子说的好，成天说着人人平等，其实根本就没有人人平等，现实生活本来就是残酷的，大家都想着自己，都很自私，社会给予了女性一些福利，同时也给予了男性一些福利。,0,0,0,0,0
13,男性和女性都是人类，性别歧视不管对男对女都不该存在，一个文明的社会最重要的是需要人与人之间的尊重，信任，平等,0,0,0,0,0
14,不管男女，生来为人，都不容易。,0,0,0,0,0
15,男女不是自己的选择，种族不是，宗教不是，国际不是，家庭不是，父母不是 性别不是，性取向不是，长相这些都不是自己的选择，我们唯一可以做的，是人与人相互尊重，理解，包容而已，然后珍惜身边所有东西，好好活下去不是吗？,0,0,0,0,0
16,有時候真的覺得當男人很累。,0,0,0,0,0
17,男女皆是性别角色固化的受害者，因为性别角色固化导致男性承担更多工作压力，养家糊口的压力，哭泣和寻求帮助被认为是可耻的……,0,0,0,0,0
18,片中许多女权主义者连“男权运动”（MRA）是什么，他们的诉求为何都不知道，就肆意加以否定，贬损，殊不知大家追求的其实是相同的结果。,1,0,0,0,0
19,最中肯的闡釋目前性別問題的總結2:03 ：「女性是男權社會下的受害者，男性也是男權社會下的受害者」,0,0,0,0,0
