ID,text,sexism,gender,hostile,misogyny,misandry
5,顯然是不可能的，但是男女生選擇報這堂課的權利是一樣的，也就是說，但就好萊塢幕後男女佔比95：5來看，我反倒覺得是男女平等的提現。,1,0,0,0,0
11,在歐美遇到很多很悲慘的爸爸，和孩子在一起的時間幾乎沒有，每個月都要給前妻很多錢之外，也要看著自己小孩和前妻跟其他的男人在一起。,1,0,0,0,0
18,片中许多女权主义者连“男权运动”（MRA）是什么，他们的诉求为何都不知道，就肆意加以否定，贬损，殊不知大家追求的其实是相同的结果。,1,0,0,0,0
27,男人負擔社會家庭大多數工作了，在女權藍藥丸洗腦下，女人想把家事也丟給男人，開始散播什麼顧家會做家事的才是暖男。,1,0,0,1,0
31,青少年时期尤其明显，多数感情中都是男生被玩弄，女生却四处勾搭。,1,0,0,0,0
32,我能理解因為以前的社會以男性為重，所以在社會開放以後，女權團體開始爭取自己的權益這是很令人樂見的，畢竟人人生而平等，不該因為性取向在待遇上有所差異所以在現今社會上，大家都接受平權這種觀念，因此在各行各業上漸漸的都有女性領頭但反觀近代，現在的女權越來越過頭，就像在吃自助餐一樣，只挑自己喜歡的權利來爭取然後用一些無理取鬧的理由來彰顯女權的偉大，這些行為真的令人反感尤其讀法律的都大概了解，現在的法律在男女保障方面，男性是真的比較吃虧的,1,0,0,0,0
49,這是一個女尊男卑的時代，女性擁有絕對的交配權 特別的是慕強心理是女人的天性 ，女生會不由自主的去跟更高分的男人交配 並且讓許多普通男人成為供養者。,1,0,0,1,0
55,而男性因为生理相对的优势，加上几千年的父权制度，使得男性被视为较女性更强势的那一部分，因此也在家庭中被视为更可能暴力的那一方。,1,1,0,0,1
63,脏活累活默认都是男性的，哪怕两个性别承担着一样的职责。,1,0,0,0,0
75,一个家庭，女人可以不工作，男人一定不能不工作。,1,0,0,0,0
92,"說男生女生都要分擔家務，另一方面又說男生做家務的能力比女性差說性侵和家暴是女性的傷害，另一方面卻又忽視男性也會遭到性侵和家暴的事實說男生能做的工作女生也能做，另一方面卻沒幾個人鼓勵男生也可以做好護士或好保母說要注重男女之間互相尊重的問題，卻又了同性戀、雙性戀和跨性別者忽視在邊緣外就像最後說的""傾聽不同聲音的勇氣""要是我們忽視其中一方的感受，這就很難做到真正的平等吧",1,0,0,0,0
94,在女性為受害者的情況下，有很多人跳出來指責人渣；可是在男性為受害者的情況下……,1,0,0,0,0
95,男性受到的歧視不比女性少，而且男性之中覺醒的更少，事實上，很多歧視男性的人就是男性，而且這部分人以男性的刻板印象為榮。,1,1,0,0,0
108,而且都是掩盖在开玩笑， 或者说是男性，就应该被女生打的状况下。,1,0,0,0,0
129,首先，普遍上都是男主外，女主内，当然现在也有家庭主夫。,1,0,0,0,0
130,可是，自古以来大部分男人都是在外挣钱养家。,1,0,0,0,0
132,我觉得这习性可能已经根深蒂固地埋在男性的基因里。,1,1,0,0,0
133,所以，现在女强人比男强人少很正常不是吗？,1,0,0,0,0
150,男女之间荷尔蒙分泌不一样，雄性荷尔蒙和更高的骨骼密度让男人更强壮而且更高大，这样在暴力行为面前大多数女性徒手根本和男性无法抗衡；至于做爱生孩子的问题上，女性连堕胎的权利都要声讨，无法控制自己的身体，在非法堕胎的条件下无数女性被伤害被谋杀，那男性的所谓“不能尽父亲的责任”实在是不足为题。,1,1,0,0,0
155,因为大多数男性还是男权社会的受益者，并不是每个男性都会在战争中牺牲或者面临灾难前让妇女儿童先走的事，而大部分男性都非常享受男权社会赋予他们的特权，比如更少的家务劳动，更优越的就业机会，更多的政治权利这些，女权运动再怎么折腾也动不了男权社会一根毫毛，因为无论是政治，军事还是经济都不站在女性这边,1,1,0,0,0
157,目前大多人男女平等就是出事了男的垫底 有好处当然是一起分啦 或者女性多拿点 反正你是男的 就算离婚也要你养我,1,0,0,0,0
159,有些男人认为如果女人提出“重活儿危险活儿就该男人干、约会男人要买单、男人就该养家、有危险男人就该替女人挡刀先死”就等于是支持大男子主义，就是对男性不公了，那我想问问，如果重活儿男女平分、吃饭男女aa、男女共同工作养家、有危险男人不用保护女人，是不是就是男性想要的平等待遇了？,1,1,0,0,0
160,既然女性已经是负责怀孕生娃的部分了，男性如果不承担起养家保家的责任，他还能干点啥？,1,0,0,0,0
172,女权要男女平等，可是结婚都要男生出钱买车买房，而且还要男生养女生，说好的男女平等呢？,1,0,0,0,0
173,一旦约会AA女生就会说男生小气，what?,1,0,0,0,0
181,特别讽刺的是，所谓的女权往往只有在相对发达的国家有，但明明国家大都是男人打下来的，别说平权，就是不平等又怎么样？,1,0,0,0,0
193,女权不满女性被物化矮化，不喜欢被男性品论外表，但同时女人对男人却评论不断，从男人的身高到赚钱能力都评论，甚至唾弃耻笑男贫弱者。,1,0,0,0,0
197,社会上，很多女人婚前要传统权益，要求男方有房有车有钱，要男人约会付钱，婚后却要现代地位，不生育不煮饭不扫地，男人赚钱要养家，而女人赚钱拿来美容旅行，离婚时又来当弱者，要分家产要抢孩子要房要钱。,1,0,0,1,0
211,就是觉得女性不能战胜男性才刻意让步的意味。,1,0,0,0,0
212,个人观点，不喜勿看：家暴数据中，被家暴的男性比女性多是因为被家暴的很多女性不会告知福利社，导致数据不对称。,1,1,0,0,0
218,男性家暴的致伤和致死率应该更高一些吧。,1,1,0,0,0
